[INFO ] [2021-04-06 23:46:03,908]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-04-06 23:46:14,388] Pre-conditions: Login to the System and go to My Account page
[INFO ] [2021-04-06 23:46:19,131]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-04-06 23:46:19,145] TC_01_AddProductToCartWithDetail - Step 01: Click to 'Desktops' Menu
[INFO ] [2021-04-06 23:46:20,107] TC_01_AddProductToCartWithDetail - Step 02: Click to Product link
[INFO ] [2021-04-06 23:46:22,194] TC_01_AddProductToCartWithDetail - Step 03: Select required fields
[INFO ] [2021-04-06 23:46:22,756] TC_01_AddProductToCartWithDetail - Step 04: Click 'Add to cart' button
[INFO ] [2021-04-06 23:46:22,859] TC_01_AddProductToCartWithDetail - Step 05: Verify the Product is added to cart successfully
[INFO ] [2021-04-06 23:46:23,999] TC_01_AddProductToCartWithDetail - Step 06: Click to 'Shopping cart' link
[INFO ] [2021-04-06 23:46:25,051] TC_01_AddProductToCartWithDetail - Step 07: Verify Product Name is displayed in Shopping cart
[INFO ] [2021-04-06 23:46:25,119]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-04-06 23:46:25,122] TC_01_AddProductToCartWithDetail - Step 08: Verify the Product's price in Shopping cart
[INFO ] [2021-04-06 23:46:28,322]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-04-06 23:46:28,325] TC_01_AddProductToCartWithDetail - Step 09: Verify the Product's Total price in Shopping cart
[INFO ] [2021-04-06 23:46:31,488]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-04-06 23:46:31,492] TC_01_AddProductToCartWithDetail - Step 10: Verify Product information is the same with the selection in Shopping cart
[INFO ] [2021-04-06 23:46:34,580]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-04-06 23:46:37,716]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-04-06 23:46:40,824]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-04-06 23:46:43,952]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-04-06 23:46:47,106]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-04-06 23:46:47,106] TC_01_AddProductToCartWithDetail - Step 11: Back to the Home page 
[INFO ] [2021-04-06 23:46:47,874] TC_02_EditProductInShoppingCart - Step 01: Click to 'Shopping cart' Header link
[INFO ] [2021-04-06 23:46:49,541] TC_02_EditProductInShoppingCart - Step 02: Click to 'Edit' link
[INFO ] [2021-04-06 23:46:50,727] TC_02_EditProductInShoppingCart - Step 03: Edit Product's information
[INFO ] [2021-04-06 23:46:52,621] TC_02_EditProductInShoppingCart - Step 03: Click to 'Update' button
[INFO ] [2021-04-06 23:46:52,764] TC_02_EditProductInShoppingCart - Step 04: Verify the Product is added into 'Shopping cart' successfully
